2.114271779873888590e-07 1.796331474679391249e-07 4.800259148507457496e-11 9.999995231628417969e-01 7.485784908611847754e-11
1.662223469978130197e-09 9.999781847000122070e-01 6.400190954991558101e-08 2.171892811020370573e-05 8.364192009087303287e-15
3.745959986645175377e-09 2.053284097109676909e-15 4.225084282438729133e-09 3.163497588887231871e-11 1.000000000000000000e+00
9.999909400939941406e-01 5.423228088830001070e-08 3.732790787580597680e-08 9.012010195874609053e-06 5.822537474386990652e-08
4.045695334298216039e-07 9.998946189880371094e-01 3.408249904168769717e-05 7.093871681718155742e-05 2.295587765016593451e-12
1.279517078955905163e-07 2.748932456597685814e-04 3.635276801805531477e-11 9.997249245643615723e-01 1.194081075336916875e-12
1.768434643167893228e-08 7.096152346828567270e-15 4.452240798258344512e-09 6.110468381281819461e-11 1.000000000000000000e+00
1.399421245551479842e-09 1.056797011012022836e-11 1.000000000000000000e+00 1.964206792007261448e-12 1.184600473269625809e-10
8.211767635657452047e-06 3.319022487402456534e-11 9.998964071273803711e-01 5.983945783327726531e-09 9.533054981147870421e-05
9.838539654083433561e-07 1.110069334231411631e-07 9.999986886978149414e-01 2.705513111322943587e-07 1.778727859447215565e-10
1.000000000000000000e+00 4.961379307388824600e-09 1.612297850783761533e-09 5.098430477801230154e-08 1.044159314567139063e-09
2.405388777049211058e-08 5.116647798786289059e-07 4.604856535146695240e-13 9.999995231628417969e-01 6.142456335234136588e-12
4.277203036195942332e-09 9.999308586120605469e-01 2.452795797580620274e-06 6.663503882009536028e-05 2.035976842305019241e-14
2.776517649181187153e-04 9.860047698020935059e-01 5.589277861872687936e-06 1.371198892593383789e-02 5.340853448387861135e-08
1.416781691965240952e-09 6.379007836277567067e-14 3.688334748730426327e-09 1.326204007723319478e-10 1.000000000000000000e+00
9.654129371483577415e-07 9.385447441445649019e-08 9.999980926513671875e-01 8.858045248416601680e-07 4.444508650003342609e-10
9.999982118606567383e-01 1.020301965581893455e-06 2.601477078201241966e-08 7.402982191706541926e-07 1.643292057984524490e-09
9.999983310699462891e-01 1.378433456267202928e-08 1.310058195258534397e-07 1.534649300083401613e-06 4.259371166881464887e-08
1.913845817935744265e-11 1.874741595578189170e-16 2.461229975381229451e-08 2.948543373435669190e-13 1.000000000000000000e+00
1.295111587751307525e-06 2.749199484242126346e-05 1.585426408212686766e-11 9.999711513519287109e-01 1.723323567182077909e-10
1.899860217235982418e-04 1.000762131297960877e-05 4.220343043925822712e-07 9.997993111610412598e-01 2.545744735016342020e-07
2.000354106712620705e-05 1.757851286754430475e-08 9.999788999557495117e-01 2.672562082750573609e-08 1.115647251026530284e-06
9.530608654022216797e-01 2.106384727085242048e-06 4.684580489993095398e-02 6.651088915532454848e-05 2.473828317306470126e-05
1.406972405249007352e-08 9.999830722808837891e-01 1.472875332808598614e-08 1.695407627266831696e-05 4.271510496521710096e-15
2.290977851870934501e-09 3.607146557089904032e-15 2.508173668758217900e-09 8.443253041168219397e-11 1.000000000000000000e+00
